,Year,#Bat,BatAge,R/G,G,PA,AB,R,H,1B,2B,3B,HR,RBI,SB,BB,SO,BA,OBP,SLG,OPS,TB,HBP,SH,BIP
49,1974,741,27.4,4.12,38.26632390745501,148856,132256,0.10779545332401784,0.2282004084484334,0.16974122642016445,0.03497339710861504,0.005690062879561455,0.01779572204009244,0.09981458590852905,0.01671413983984522,0.08708416187456333,0.13096549685602193,0.257,0.324,0.369,0.693,0.32794109743644867,0.005199656043424518,0.011648841833718494,0.747138173805557
50,1973,710,27.7,4.21,38.290015440041174,148795,132363,0.11005746160825297,0.2285695083840183,0.16730400887126584,0.03510870660976511,0.005309318189455291,0.02084747471353204,0.10251688564803925,0.013669814173863369,0.08804059276185355,0.13681911354548204,0.257,0.325,0.379,0.704,0.33683927551329007,0.005074095231694613,0.010417016700830001,0.7386807352397594
51,1972,824,27.5,3.69,37.64792899408284,139975,124828,0.09791748526522594,0.2174245400964458,0.16075727808537238,0.03323450616181461,0.005329523129130201,0.018103232720128596,0.0910876942311127,0.012909448115734953,0.08377924629398106,0.1480121450258975,0.244,0.311,0.354,0.664,0.3156277906769066,0.00536524379353456,0.012559385604572246,0.7319807108412216
52,1971,828,27.6,3.89,37.85216718266254,146715,130544,0.1027365981665133,0.22183825784684594,0.1632075793204512,0.03360937872746481,0.005507276011314453,0.019514023787615443,0.09594792625157618,0.012030126435606447,0.08544456940326484,0.14283474763998227,0.249,0.317,0.365,0.682,0.325004259959786,0.005595883174862829,0.01228231605493644,0.734158061547899
53,1970,849,27.6,4.34,38.411265432098766,149343,132140,0.11302839771532647,0.22468411642996325,0.16046282718306182,0.035053534481026896,0.006207187481167514,0.022960567284707016,0.10554227516522367,0.012775958699102067,0.09191592508520653,0.1498161949338101,0.254,0.326,0.385,0.711,0.3410337277274462,0.005524195978385328,0.010914472054264344,0.7186610688147419
54,1969,849,27.4,4.07,38.08170606372045,148214,131287,0.10693996518547505,0.21982403821501342,0.16039645377629644,0.03265548463707882,0.005728203813404942,0.02104389598823323,0.09892452804728298,0.012481951772437152,0.09060547586597757,0.15162535253080006,0.248,0.32,0.369,0.689,0.3270676184436018,0.005950854845021388,0.011260744599025733,0.7192910251393255
55,1968,676,27.6,3.42,37.17938461538461,120833,108622,0.09193680534291129,0.2127730007531055,0.1584749199308136,0.03201939867420324,0.005768291774597999,0.016510390373490686,0.08530782153881804,0.01253796562197413,0.0757740021351783,0.15842526462141965,0.237,0.299,0.34,0.639,0.3058601540969768,0.006438638451416417,0.012471758542782187,0.7302392558324299
56,1967,718,27.4,3.77,37.6104938271605,121858,109205,0.10019859180357465,0.21717080536361996,0.15830721003134796,0.03349800587569138,0.006499368116988626,0.018866221339591985,0.09243545766383823,0.011267212657355282,0.0793136273367362,0.1593083753220962,0.242,0.306,0.357,0.664,0.3202662114920645,0.006162910929114215,0.012145283854978746,0.7240476620328579
57,1966,714,27.3,3.99,37.67894736842105,121703,109467,0.10599574373680189,0.22355241859280378,0.16042332563700154,0.03385290420121115,0.0067377139429595,0.022538474811631595,0.09858425839954643,0.011955333886592772,0.0766702546362867,0.15451550085043098,0.249,0.31,0.376,0.686,0.3384961751148287,0.00560380598670534,0.011955333886592772,0.7285029949960149
58,1965,702,27.3,3.99,37.823166974738136,122774,109738,0.10544577842214149,0.21952530666101944,0.15702021600664637,0.034201052340072,0.006410151986576963,0.02189388632772411,0.0978301594800202,0.011802173098538779,0.08174369166110089,0.15706094124163097,0.246,0.311,0.372,0.683,0.3322283219574177,0.005864433837783244,0.012119829931418705,0.7211054457784222
59,1964,700,27.4,4.04,37.8259532595326,123010,110464,0.1066905129664255,0.2249329322819283,0.1615884887407528,0.03471262498983822,0.006178359482968864,0.022453459068368424,0.09944719941468173,0.009560198357857085,0.07821315340216242,0.15618242419315503,0.25,0.313,0.378,0.69,0.3393626534428095,0.005641817738395252,0.011885212584342737,0.7253800504024063
60,1963,695,27.6,3.95,37.794008647313156,122377,109814,0.10443138825106024,0.22098106670371068,0.15893509401276384,0.033486684589424484,0.006463632872190036,0.02209565522933231,0.09726500894775979,0.010099937079680005,0.07837257000907033,0.15340300873530158,0.246,0.309,0.372,0.681,0.33368198272551214,0.005834429672242333,0.011832288747068485,0.7281270173316882
61,1962,702,27.9,4.46,38.42535471930907,124575,110688,0.1160826811157937,0.22894641782059,0.163387517559703,0.03462171382701184,0.006847280754565523,0.024089905679309652,0.10873770820790689,0.010820790688340357,0.08778647401163958,0.14101545253863135,0.258,0.326,0.393,0.719,0.34953241019466186,0.005691350592012844,0.01092514549468192,0.730210716435882
62,1961,620,28.0,4.53,38.31923076923077,109593,97032,0.11809148394514248,0.2287189875265756,0.16065807122717693,0.03627056472584928,0.006880001459947259,0.024910350113602146,0.1100526493480423,0.009544405208361847,0.09030686266458623,0.13638644803956457,0.258,0.328,0.399,0.727,0.3534806055131258,0.005228436122745066,0.011907694834524103,0.7310320914656958
63,1960,575,28.2,4.31,38.355177993527505,94814,84014,0.11247284156348218,0.2260636614845909,0.16037715949121437,0.036302655725947645,0.006939903389794756,0.022443942877634106,0.10513215347944396,0.009734849283861034,0.08842575990887422,0.13515936465078998,0.255,0.324,0.388,0.712,0.34357795262303037,0.0051469192313371446,0.01258253000611724,0.735787963802814
64,1959,571,28.5,4.38,38.27019386106623,94757,84294,0.11453507392593687,0.22833141614867503,0.16164504996992307,0.036704412338930105,0.006237006237006237,0.023744947602815623,0.1073799297149551,0.009001973468978545,0.08636828941397469,0.13301391981595026,0.257,0.324,0.392,0.716,0.34874468377006446,0.005234441782665133,0.011893580421499203,0.7393226885612673
65,1958,580,28.4,4.28,38.125506072874494,94170,83827,0.11232876712328767,0.22959541255176807,0.1628331740469364,0.03601996389508336,0.006955505999787618,0.02378676860996071,0.10571307210364235,0.007868748008920038,0.0863013698630137,0.12981841350748646,0.258,0.325,0.394,0.719,0.3508866942763088,0.0052989274715939255,0.011107571413401296,0.7434002336200488
66,1957,563,28.5,4.31,38.63238866396761,95422,84906,0.11146276540001257,0.22914003060090965,0.16343191297604326,0.03558927710590849,0.007042401123430656,0.023076439395527237,0.10503867032759741,0.008037978663201358,0.08558822912955084,0.12522269497600133,0.258,0.324,0.391,0.715,0.3480434281402612,0.005355159187608727,0.01168493638783509,0.7486952694347215
67,1956,552,28.3,4.45,38.445520581113804,95268,83856,0.11578914220934626,0.22728513246840493,0.16054708821430072,0.03504849477264139,0.0076101104253264475,0.024079439056136374,0.10843095268085821,0.00754713020111685,0.09443884620229248,0.12076457992190452,0.258,0.331,0.397,0.729,0.3497921652601083,0.005048914640802788,0.013152370155771087,0.7421274719738002
68,1955,599,28.3,4.48,38.51418152350081,95053,83590,0.11644030172640527,0.2273468486002546,0.16238309153840488,0.0342019715316718,0.007364312541424258,0.023397472988753644,0.10921275498932174,0.007301189862497765,0.09514691803520141,0.11366290385363954,0.259,0.332,0.394,0.726,0.34646986418103587,0.005323345922800963,0.012487769980957991,0.7496870167169895
